Starting tests...
acl_userdir(_alpha0, r, r, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, r, w, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, w, rx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, w, rx) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, r, w, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, r, w, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, w, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, w, rwx) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, r, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, r, w, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, w, w) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, r, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, r, w, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, w, wx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, w, wx) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, r, w, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, r, w, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, w, x) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, w, x) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, r, w, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, r, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, wx, r) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, r, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, r, wx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, wx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, wx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, r, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, r, wx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, wx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, wx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, r, wx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, r, wx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, wx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, wx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, r, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, r, wx, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, wx, w) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, wx, w) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, r, wx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, r, wx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, wx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, r, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, r, wx, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, wx, x) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, wx, x) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, r, wx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, r, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, x, r) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, r, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, r, x, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, x, rw) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, x, rw) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, r, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, r, x, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, x, rx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, x, rx) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, r, x, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, r, x, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, x, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, x, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, r, x, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, r, x, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, x, w) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, x, w) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, r, x, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, r, x, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, x, wx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, x, wx) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, r, x, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, r, x, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, x, x) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, r, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, rw, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, r, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, rw, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, rw, r, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, r, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, r, rw) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, rw, r, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, rw, r, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, r, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, r, rx) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, rw, r, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, rw, r, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, r, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, r, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, rw, r, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, rw, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, r, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, rw, r, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, rw, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, r, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, rw, r, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, rw, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, r, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, rw, r, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, rw, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, rw, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, rw, rw, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, rw, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, rw, rw, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, rw, rw, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, rw, rw, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, rw, rw, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, rw, rw, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, rw, rw, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, rw, rw, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, rw, rw, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, rw, rw, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, rw, rw, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, rw, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rx, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rx, r) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, rw, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, rw, rx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, rw, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, rw, rx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, rw, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, rw, rx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, rw, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, rw, rx, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rx, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rx, w) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, rw, rx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, rw, rx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, rw, rx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, rw, rx, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rx, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rx, x) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, rw, rx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, rw, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rwx, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, rw, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, rw, rwx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, rw, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, rw, rwx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rwx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, rw, rwx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, rw, rwx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rwx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, rw, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, rw, rwx, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rwx, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, rw, rwx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, rw, rwx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rwx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, rw, rwx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, rw, rwx, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, rwx, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, rw, rwx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, rw, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, w, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, w, r) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, rw, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, rw, w, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, w, rw) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, rw, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, rw, w, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, w, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, w, rx) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, rw, w, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, rw, w, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, w, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, w, rwx) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, rw, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, rw, w, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, w, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, rw, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, rw, w, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, w, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, w, wx) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, rw, w, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, rw, w, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, w, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, w, x) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, rw, w, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, rw, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, wx, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, wx, r) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, rw, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, rw, wx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, wx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, rw, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, rw, wx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, wx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, wx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, rw, wx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, rw, wx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, wx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, wx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, rw, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, rw, wx, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, wx, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, wx, w) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, rw, wx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, rw, wx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, wx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, rw, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, rw, wx, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, wx, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, wx, x) -> (1, 0, 0) OK
acl_userdir(_alpha3, r, rw, wx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, rw, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, x, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, x, r) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, rw, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, rw, x, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, x, rw) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, rw, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, rw, x, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, rw, x, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, r, rw, x, rx) -> (1, 1, 0) OK
acl_userdir(_alpha3, r, rw, x, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, rw, x, rwx) -> (0, 1, 1) OK
